TC ID,Test Type,Test Case Name,Description,Steps,Expected Results,Status,User Story,Priority
"TC_1725_001","Manual","Premium calculation with 6-decimal rate (Positive)","Verify the premium is calculated correctly when a rate with 6 decimal places is entered and the calculator uses full precision.","1. Login to EZDocs. 2. Select LOB and product. 3. Create or open a quote. 4. Go to Total Insured Values -> Premium and click Add. 5. In the Premium modal enter Value ($) = 100000.00. 6. Set Rate Type = Rate (Number). 7. Enter Rate = 0.452345 (6 decimals). 8. Save modal. 9. Observe premium value in the Premium table and document preview.","- The system accepts the 6-decimal rate input. - Premium is calculated using the full 6-decimal rate precision (calculated premium matches the hand-calculated expected value). - No manual editing required to make totals match.","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","High"
"TC_1725_002","Manual","Premium calculation with 8-decimal rate (Positive)","Verify the premium is calculated correctly when a rate with 8 decimal places is entered.","1. Login to EZDocs. 2. Select LOB and product. 3. Create or open a quote. 4. Open Premium modal. 5. Enter Value ($) = 250000.00. 6. Enter Rate = 0.45234567 (8 decimals). 7. Save and observe results. 8. Repeat with other values to confirm consistency.","- The system accepts the 8-decimal rate input. - Premium is calculated using the full 8-decimal precision and matches expected hand calculation. - Calculated totals match the Total Insured Values where applicable.","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","High"
"TC_1725_003","Manual","Rate input validation - non-numeric characters (Negative)","Confirm the system rejects non-numeric input in the Rate field and shows validation message.","1. Login and open a quote. 2. Open Premium modal. 3. Enter Value ($) = 50000.00. 4. Enter Rate = '0.45a234' (include letters). 5. Attempt to save.","- The system blocks save and shows a clear validation error near the Rate field (e.g., 'Please enter a valid numeric value'). - No invalid value is persisted.","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","High"
"TC_1725_004","Manual","Small-precision rate (4 decimals) backward compatibility (Positive)","Ensure rates with 4 decimals still calculate correctly and are compatible with the new precision handling.","1. Login and open a quote. 2. Open Premium modal. 3. Enter Value ($) = 120000.00. 4. Enter Rate = 0.4523 (4 decimals). 5. Save and verify premium.","- System accepts 4-decimal rate. - Premium calculation is correct and consistent with historical behavior for 4-decimal inputs. - No regression for 4-decimal cases.","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","Medium"
"TC_1725_005","Manual","Print formatting shows up to 6 decimals (Positive)","Verify document preview/print shows rate/premium formatted to 6 decimals while calculations use full precision.","1. Login and create quote. 2. Add a premium line with Value = 100000 and Rate = 0.45234567 (8 decimals). 3. Save. 4. Generate preview document (English). 5. Inspect printed rate/premium formatting.","- Document preview/print displays rate and premium rounded/formatted to a maximum of 6 decimals. - The value used for calculation remains the higher-precision number; printed representation is limited to 6 decimals only.","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","High"
"TC_1725_006","Manual","Premium matches Total Insured Values mapping (Integration/Positive)","Ensure the premium calculator uses the same underlying insured values as the 'Total Insured Values' lines and maps correctly to premium lines.","1. Login, select product, create quote. 2. Populate Total Insured Values list with one entry: Value ($) = 200000.00. 3. Go to Premium and add a premium line linked to this insured value. 4. Enter Rate = 0.00123456 (8 decimals). 5. Save and compare the premium calculation to the expected derived premium using the same insured value.","- Premium line calculation uses the exact Total Insured Value entry. - Calculated premium is consistent with hand calculation using the same insured value and rate precision. - No mismatch between the Total Insured Values and Premium lines.","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","High"
"TC_1725_007","Manual","Manual override no longer required when calculator works (Regression/Positive)","Confirm that when the calculator produces the correct premium, manual entry of premium is not needed and the UI does not force manual edits.","1. Login and open a quote. 2. Create Total Insured Value and a Premium line. 3. Enter a high-precision rate (e.g., 0.45234567). 4. Observe whether premium is auto-populated. 5. Try to save without manual premium edits.","- Premium auto-populates correctly. - Save succeeds without needing manual premium entry. - System does not prompt user to manually enter premium to match totals.","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","High"
"TC_1725_008","Manual","Zero and boundary rate handling (Boundary)","Validate behavior when rate is zero or extremely small/high precision values (0, 0.00000001) and ensure calculations are stable.","1. Login and open quote. 2. Add Premium line with Value = 100000.00. 3. Enter Rate = 0.00000000 and save — observe. 4. Repeat with Rate = 0.00000001 (8 decimals). 5. Repeat with Rate = 1.00000000 (1.0).","- Rate = 0 results in premium = 0 with no calculation error. - Very small rates compute premium accurately (no underflow or incorrect rounding to zero unless mathematically zero). - Very large/1.0 rates compute correctly and UI remains stable.","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","Medium"
"TC_1725_009","Manual","Persistence across quote lifecycle (Positive)","Verify rate and premium values persist across quote save, document preview, binder creation and reopen.","1. Login and create quote. 2. Add premium line with Value = 150000 and Rate = 0.45234567. 3. Save quote. 4. Preview document. 5. Create binder or simulate save-to-binder. 6. Reopen quote and inspect premium and rate values.","- Rate and premium persist across save and lifecycle events. - Reopened quote shows same stored rate (full precision) and premium (calculated). - Preview and binder show consistent values (with print formatting as defined).","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","High"
"TC_1725_010","Manual","Invalid numeric formats (Negative)","Confirm the system rejects malformed numeric formats (multiple decimal points, leading/trailing symbols) and shows errors.","1. Login and open premium modal. 2. Enter Value = 100000. 3. Enter Rate = '0..4523' or '%.4523' or '--0.4523'. 4. Attempt to save.","- Save blocked; clear validation message shown. - Input is not persisted until corrected. - Error messages are user-friendly and positioned near the field.","To-do","OptimusCore/01_BaseRepo/UserStory/1725-context.md","High"
