TestCaseID,UserStoryID,AcceptanceCriteria,TestCaseName,Description,Preconditions,Steps,ExpectedResult,ScenarioType,Priority,Comments
EZ-2095-TC-001,2095,Arrange Coverages Alphabetically,Verify coverages list is sorted A-Z,"Verify that coverage rows in Sub Limits are displayed in alphabetical order by Coverage Name.","1. User account with access to EzDocs\n2. An Energy Property submission with multiple coverage rows present","1. Login to EzDocs.\n2. Open the Energy Property submission.\n3. Go to the Coverage tab and scroll to Sub Limits.","Coverage rows are ordered alphabetically (A → Z) by Coverage Name; header rows or section notes remain non-ordered static entries.",Positive,High,
EZ-2095-TC-002,2095,Arrange Coverages Alphabetically,Detect non-alphabetical ordering (negative),"Confirm system flags or exposes non-alphabetical ordering: test simulating wrong order or regression.","1. User account with access\n2. A submission where server returns unsorted list (or reproduce by temporarily altering data order)","1. Login and open submission.\n2. Navigate to Coverage → Sub Limits.\n3. If possible, inject or identify an intentionally unsorted dataset or toggle any UI sort control to unsorted state.","System should either display rows in alphabetical order by default. If list is not alphabetical, this is a defect — UI must provide a sort control or server must return sorted list.",Negative,High,If a manual reproduction is not possible, mark as exploratory and log defect if observed.
EZ-2095-TC-003,2095,Add Vertical scroll bar,Verify vertical scrollbar exists inside coverage list area,"Confirm a vertical scrollbar appears within the Sub Limits list area and inner scrolling works independently of page scroll.","1. User logged in\n2. Submission with > page-size rows (enough rows to require scrolling)","1. Open submission → Coverage tab → Sub Limits.\n2. Visually inspect the Sub Limits container for a vertical scrollbar.\n3. Use mouse wheel or trackpad to scroll inside the container.\n4. Observe whether only the inner list scrolls (not whole page).","A vertical scrollbar is visible inside the coverage list area; scrolling the container moves coverage rows while page header/footer remain static.",Positive,High,Test on multiple viewport sizes (desktop, responsive widths).
EZ-2095-TC-004,2095,Add Vertical scroll bar,Verify page body vs inner scroll behavior (negative),"Ensure page-level scrolling is not required to view more coverage rows and check for regressions where page scrolls instead of inner container.","1. User logged in\n2. Submission with many coverage rows","1. Place mouse over coverage list and scroll (wheel or trackpad).\n2. Verify which element scrolls.\n3. Attempt keyboard focus in the list and press PageDown/Arrow keys.","If page scrolls instead of inner list, this is a defect. Inner container must receive scroll events and allow vertical navigation independent of full-page scroll.",Negative,High,Include browser-specific checks (Chrome, Firefox) if possible.
EZ-2095-TC-005,2095,Add Page move function at the top of page as well,Top navigation controls present and functional,"Verify top-of-list pagination controls (first, previous, next, last) are present and navigate correctly.","1. User has a submission with multiple pages of Sub Limits (e.g., 47 records, 25 per page)","1. Go to Coverage → Sub Limits.\n2. Locate the pagination controls at the top of the coverage list.\n3. Click 'Next' and verify page advances.\n4. Click 'Last' and verify last page loads.\n5. Click 'First' and verify first page loads.\n6. Click 'Previous' and verify previous page loads.","Top pagination controls (first, prev, next, last) are visible and navigate to the correct pages; page content updates accordingly and page indicator updates.",Positive,High,Also validate icons are accessible (keyboard focusable) and have ARIA labels.
EZ-2095-TC-006,2095,Add Page move function at the top of page as well,Top pagination edge behavior (negative),"Verify top pagination controls behave correctly at edges (first/last) and disabled states are indicated.","1. User with multi-page submission","1. On first page, click 'First' and 'Previous'.\n2. On last page, click 'Next' and 'Last'.\n3. Observe control enabled/disabled states and any errors.","Controls that cannot navigate further should be disabled or no-op; clicking them must not change content or cause errors. Unexpected navigation or errors is a defect.",Negative,Medium,Check focus/keyboard behavior for accessibility.
EZ-2095-TC-007,2095,Verify top and bottom page indicators,Top and bottom page number and record count match,"Confirm the top page indicator (e.g., '1 to 25 of 47') matches the bottom indicator and both show current page/record ranges.","1. Multi-page submission present","1. Open coverage list.\n2. Note the top page indicator text.\n3. Note the bottom page indicator text.\n4. Click Next (using top control) and compare indicators again.","Top and bottom indicators show identical page ranges and total record counts at all times (before and after navigation).",Positive,High,Include cases where page size changes (if UI allows) to ensure dynamic update.
EZ-2095-TC-008,2095,Verify top and bottom page indicators,Indicator mismatch after navigation (negative),"Verify detection of inconsistent indicators: mismatch is flagged as defect.","1. Multi-page submission","1. Navigate pages using top controls.\n2. Observe top indicator and bottom indicator after each navigation step.","If indicators differ at any time, mark as defect. Both locations must reflect the same pagination state.",Negative,High,Record screenshots and steps to reproduce if mismatch occurs.
EZ-2095-TC-009,2095,Bottom controls functional after using top controls,Bottom controls remain functional after top usage,"Verify that after using top pagination controls, bottom pagination controls still navigate correctly and remain in sync.","1. Multi-page submission","1. Use the top 'Next' control to navigate to page 2.\n2. Use the bottom 'Next' control to navigate to page 3.\n3. Use bottom 'Previous' to go back.\n4. Verify page indicator and content update at each step.","Bottom controls work normally after top controls are used; content and both indicators update in sync.",Positive,High,Also test reverse: use bottom then top controls.
EZ-2095-TC-010,2095,Bottom controls functional after using top controls,Bottom controls disabled-edge behavior (negative),"Verify bottom controls show correct disabled state and do not break after top control actions.","1. Multi-page submission","1. Navigate to last page using top controls.\n2. Try clicking bottom 'Next' and 'Last'.\n3. Observe behavior and any errors.","Bottom controls should be disabled or no-op when on last page; clicking should not produce errors or inconsistent UI state.",Negative,Medium,Log issues if clicks produce JS errors in console.
