TestCaseID,UserStoryID,AcceptanceCriteria,TestCaseName,Description,Preconditions,Steps,ExpectedResult,ScenarioType,Priority,Comments
EZ-2095-POS-001,2095,Arrange Coverages Alphabetically,Verify coverage rows sorted alphabetically on initial load,"Confirm the Sub Limits coverage rows load sorted alphabetically by Coverage Name on initial display.","User logged in; Energy Property submission with many coverages","1. Login to EzDocs.\n2. Open the Energy Property submission.\n3. Navigate to Coverage → Sub Limits.","Coverage rows are displayed in alphabetical order (A→Z) by Coverage Name on initial load., Top/border header rows remain unchanged.",Positive,High,
EZ-2095-POS-002,2095,Arrange Coverages Alphabetically,Verify alphabetical order across pagination,"Confirm alphabetical ordering is maintained when navigating between pages of the Sub Limits list.","Multi-page Sub Limits (e.g., 47 records) available","1. Open Coverage → Sub Limits.\n2. Note coverage names on page 1.\n3. Use top Next to go to page 2 and note first/last names.\n4. Use Last to jump to final page and inspect ordering.","Each page displays its subset of coverages that continue the global alphabetical order; no page shows names out of global alphabetical sequence.",Positive,High,
EZ-2095-POS-003,2095,Add Vertical scroll bar,Verify vertical scrollbar present in Sub Limits container,"Check that the Sub Limits container shows an internal vertical scrollbar when content overflows its height.","Submission with enough rows to overflow visible container","1. Open Coverage → Sub Limits.\n2. Inspect the Sub Limits container for a vertical scrollbar.\n3. Visually confirm scrollbar thumb moves when scrolling.","A vertical scrollbar is present inside the Sub Limits area and the scroll thumb moves indicating internal scrolling capability.",Positive,Medium,Test at multiple viewport heights.
EZ-2095-POS-004,2095,Add Vertical scroll bar,Verify inner scrolling does not move page header/footer,"Ensure scrolling inside the Sub Limits list only scrolls the list content, not the entire page.","Submission with many rows","1. Focus mouse over Sub Limits container.\n2. Scroll using mouse wheel or touchpad.\n3. Observe whether page header/footer shift.","Only the Sub Limits container content scrolls; header and top coverage area remain fixed during inner scroll.",Positive,High,Include keyboard scroll (Arrow/PageDown) while list focused.
EZ-2095-POS-005,2095,Add Page move function at the top of page as well,Verify top pagination controls exist and are visible,"Confirm that pagination controls (first, prev, next, last) appear at the top of the Sub Limits list and are visible on load.","Multi-page submission present","1. Open Coverage → Sub Limits.\n2. Look for pagination controls at the top of the list.","Top pagination controls (icons/buttons) are present, visible, and labelled with accessible titles/ARIA attributes.",Positive,Medium,Also verify visible on narrow widths.
EZ-2095-POS-006,2095,Add Page move function at the top of page as well,Top pagination navigation functions correctly,"Validate top pagination (Next/Prev/First/Last) navigates to corresponding pages and updates content and indicators.","Multi-page submission","1. Use top Next to advance a page and verify content changes.\n2. Use top Last and verify last page content.\n3. Use top First to return to first page.","Top pagination controls navigate correctly and the list content updates to show appropriate records; page indicators update accordingly.",Positive,High,Record page numbers shown in indicator.
EZ-2095-POS-007,2095,Verify top and bottom page indicators,Top and bottom indicators show identical ranges and totals,"Confirm both top and bottom pagination indicators display the same 'x to y of z' text and update together.","Multi-page submission","1. Note top indicator text.\n2. Note bottom indicator text.\n3. Use top Next and compare both again.","Top and bottom indicators always show identical range and total count after any navigation action.",Positive,High,Verify after several navigations.
EZ-2095-POS-008,2095,Bottom controls functional after using top controls,Bottom pagination works after top navigation,"Verify bottom controls remain functional and in sync after using top pagination controls to navigate.","Multi-page submission","1. Use top Next to go to page 2.\n2. Use bottom Next to go to page 3.\n3. Observe content and indicators update accordingly.","Bottom controls function normally after top-based navigation; content and indicators remain synchronized between top and bottom.",Positive,High,Also test reverse sequence (bottom then top).
EZ-2095-POS-009,2095,Accessibility: pagination and controls,Pagination controls are keyboard-focusable and have ARIA labels,"Ensure pagination controls (top and bottom) are reachable via keyboard and announceable to assistive tech.","Multi-page submission","1. Tab to the pagination controls at top.\n2. Use Enter/Space to activate Next/Prev.\n3. Verify control has ARIA-label or title.\n4. Repeat for bottom controls.","Pagination controls are reachable by keyboard and expose ARIA labels/titles for screen readers; activation via keyboard triggers navigation.",Positive,Medium,Include tests with screen-reader or accessibility audit tool.
EZ-2095-POS-010,2095,Responsive behavior,Sub Limits list and pagination remain usable on narrow viewports,"Confirm the coverage list, inner scrollbar, and top/bottom pagination remain visible and usable on narrower screen widths.","Multi-page submission; responsive viewport (mobile/tablet) or devtools emulation","1. Resize viewport to narrow width (mobile).\n2. Open Coverage → Sub Limits.\n3. Verify inner scroll and top pagination controls are usable and visible.\n4. Navigate pages using top controls.","On narrow viewports the Sub Limits list and top/bottom pagination remain usable and accessible; no controls overlap or become unreachable.",Positive,Medium,Document any truncation and required style adjustments.
EZ-2095-POS-011,2095,Arrange Coverages Alphabetically,Verify alphabetical order after adding a new coverage,"Ensure adding a new coverage entry causes the list to remain alphabetically ordered and the new item appears in correct position.","User with edit permissions; ability to add coverage","1. Add a new coverage with name starting with 'B' (or a value fitting between existing entries).\n2. Refresh or re-open Sub Limits list.","The newly added coverage appears in the correct alphabetical position; list remains globally alphabetized.",Positive,High,If list uses server-side sort, verify API call returns sorted results.
