Test ID,Test Case Name,Description,Test Type,Priority,Category,User Story,Acceptance Criteria,Steps,Expected Results,Notes
TC_1455_001,Drop Down Endorsement Form Visibility,Verify ZC-FLXS-256-C CW and ZC-FLXS-256-C FR forms are visible and accessible in the form library for English and French versions.,Positive,High,Form Availability,1455,"Form visibility: English and French versions available",1. Login to EZDocs
2. Navigate to Financial Lines > Excess Select
3. Go to Forms tab
4. Click Add Endorsement
5. Search for ZC-FLXS-256-C,1. Both English (ZC-FLXS-256-C CW) and French (ZC-FLXS-256-C FR) forms appear in search results
2. Forms are selectable and addable,Forms for Drop Down Endorsement
TC_1455_002,Drop Down Endorsement Form Addition,Verify user can add ZC-FLXS-256-C CW form to submission without errors.,Positive,High,Form Management,1455,"Form can be added to submission","1. Login to EZDocs
2. Open Financial Lines > Excess Select submission
3. Navigate to Forms tab
4. Click Add Endorsement
5. Select ZC-FLXS-256-C CW
6. Click Add/Confirm","1. Form is successfully added to the submission
2. Form appears in the Forms list with correct form number
3. Edit option is available for the added form",New form version
TC_1455_003,Fill Growing Table Fields - Policy Coverage and Sublimit,Verify growing table can accept Policy Coverage string and Sublimit dollar amount inputs for ZC-FLXS-256-C CW.,Positive,High,Field Validation,1455,"Growing table accepts: Policy Coverage <String>, Sublimit <$ amount>, Total Underlying sublimit <$ amount>","1. Login to EZDocs
2. Open Financial Lines > Excess Select submission
3. Add ZC-FLXS-256-C CW form
4. Click Fill-in Details
5. In growing table first row, enter Policy Coverage value
6. Enter Sublimit dollar amount
7. Enter Total Underlying sublimit
8. Click Save","1. Growing table row accepts Policy Coverage text input
2. Dollar amount fields accept numeric values with currency formatting
3. All three fields save successfully
4. Data persists on form reload",Growing table with dependencies
TC_1455_004,Growing Table Add Row Function,Verify user can add additional rows to the growing table for multiple policies.,Positive,High,Form Functionality,1455,"Growing table: multiple rows can be added","1. Login to EZDocs
2. Open Financial Lines > Excess Select with ZC-FLXS-256-C CW
3. Click Fill-in Details
4. In growing table, complete first row
5. Click Add Row button
6. Fill second row with different values
7. Add third row
8. Save form","1. Add Row button is visible and functional
2. New rows are added successfully
3. Each row maintains independent data
4. All rows save together
5. Row count increases as expected",Multiple row management
TC_1455_005,DIC Endorsement Lead Policy Information Entry,Verify ZC-FLXS-11817 U form accepts Lead DIC policy information (Name of Lead DIC policy insurer, Policy No, Limit of Liability).,Positive,High,Field Validation,1455,"DIC form fields: Lead DIC policy insurer name, Policy No, Limit of Liability <$ amount>","1. Login to EZDocs
2. Open Financial Lines > Excess Select submission
3. Add ZC-FLXS-11817 U form (DIC Endorsement)
4. Click Fill-in Details
5. Enter insurer name (alphanumeric)
6. Enter Policy number (alphanumeric)
7. Enter Limit of Liability (dollar amount)
8. Save form","1. All three fields accept input without validation errors
2. Alphanumeric fields accept mixed case, numbers, and special characters
3. Dollar field accepts currency formatting
4. Data saves and persists",DIC growing table
TC_1455_006,DIC Other Underlying Policy Information Entry,Verify ZC-FLXS-11817 U form accepts Other underlying DIC policy information in growing table.,Positive,High,Field Validation,1455,"DIC form: Other underlying DIC policy fields with multiple rows","1. Login to EZDocs
2. Open Financial Lines > Excess Select with ZC-FLXS-11817 U form
3. Click Fill-in Details
4. Scroll to Other underlying DIC policy section
5. Enter insurer name
6. Enter Policy number
7. Enter Limit of Liability
8. Click Add Row to add multiple policies
9. Save","1. Other underlying policy section displays correctly
2. All rows accept alphanumeric insurer names
3. Policy numbers stored with proper formatting
4. Limits of Liability display with currency
5. Multiple rows manage independently",Multiple underlying policies
TC_1455_007,Guaranteed Renewal Endorsement Form Accessibility,Verify ZC-FLXS-11819 U (Guaranteed Renewal Endorsement) form is visible and can be added to submission.,Positive,High,Form Availability,1455,"Guaranteed Renewal form is available and fillable","1. Login to EZDocs
2. Navigate to Financial Lines > Excess Select
3. Go to Forms tab
4. Click Add Endorsement
5. Search for ZC-FLXS-11819 U
6. Add form","1. Form appears in search results
2. Form can be successfully added
3. Fill-in Details option is available
4. Form displays without errors",Form ZC-FLXS-11819 U
